name,brand,brand_line,internal_code,internal_code2,ean,top_category,type,price,was_price,discount_percentage,size,availability,description,image_url,rating,review_count,source,scraped_at,url
BODYSCRUB,RITUALS,THE RITUAL OF SAKURA,BP_1046504,,8719134161328,LICHAAM & WELLNESS,Body scrub,"€ 16,90",,,250 G,AVAILABLE,RITUALS COSMETICS BELGI,https://www.iciparisxl.nl/medias/prd-front-1046504-201x201?context=bWFzdGVyfHByZC1pbWFnZXN8MTMzNzF8aW1hZ2UvanBlZ3xhRE0yTDJoak15ODVNak01TkRnek1UZzNNak13TDNCeVpDMW1jbTl1ZEMweE1EUTJOVEEwWHpJd01YZ3lNREV8OTVkZTMzYTM2OTZjMWRkODI2NDUzNzVmNDI3ZGY2OTQ5MzY0OTFjNTFkOGM1MWUzMDVlNzViM2NlNWQ2OWE1YQ,3,1,iciparisxl.nl,1753098791,https://www.iciparisxl.nl/rituals/the-ritual-of-sakura/bodyscrub/p/BP_1046504
MASSAGE SHOWER GEL,ONLY YOU,ICED MINT & BERGAMOT,BP_1172595,,8720353166827,LICHAAM & WELLNESS,Douchegel,"€ 6,50",,,300 ML,AVAILABLE,BELFICOS BV,https://www.iciparisxl.nl/medias/prd-front-1172595-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8MTU3ODF8aW1hZ2UvanBlZ3xhRGN5TDJnd01TOHhNREV3TVRVNE1UTXhOakV5Tmk5d2NtUXRabkp2Ym5RdE1URTNNalU1TlY4eU1ERjRNakF4TG1wd1p3fDNiMzI2YTIwNzgxMzE5OTg3MzNiNWJlODE4OTg4NTgzYzc4MjUzYjkyNzkyNjg4OTg1YTU0YWI4Y2RjNjI5MDI,5,1,iciparisxl.nl,1753098791,https://www.iciparisxl.nl/only-you/iced-mint-bergamot/massage-shower-gel/p/BP_1172595
Doucheschuim,SCENTO,Marina & Cedarwood,BP_1311540,,8720353185002,LICHAAM & WELLNESS,Doucheschuim,"€ 8,95",,,200 ML,AVAILABLE,KALEGRA SAS,https://www.iciparisxl.nl/medias/prd-front-1311540-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8MzA0NDZ8aW1hZ2UvanBlZ3xhREU0TDJoa01pOHhNVEEyTWpVNE5qZzJOemMwTWk5d2NtUXRabkp2Ym5RdE1UTXhNVFUwTUY4eU1ERjRNakF4TG1wd1p3fDM2NTFhYTdmMWViZWYyYmIyMzM0MDk2MjZjYzFkM2I5MTc2MGQ4MTM3YjViNjhmMzUzNWQyYWYxNmJiYWEwZWQ,5,1,iciparisxl.nl,1753098791,https://www.iciparisxl.nl/scento/marina-cedarwood/doucheschuim/p/BP_1311540
SHOWER FOAM,SCENTO,CHERRY BLOSSOM & FREESIA,BP_1022865,,8719179425461,LICHAAM & WELLNESS,Doucheschuim,"€ 7,95",,,200 ML,AVAILABLE,SOFIA NEWCO SAS,https://www.iciparisxl.nl/medias/prd-front-1022865-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8Mzc5MHxpbWFnZS9qcGVnfGFEazJMMmhrTWk4eE1UUTRPRE13TkRZNU16STNPQzl3Y21RdFpuSnZiblF0TVRBeU1qZzJOVjh5TURGNE1qQXhMbXB3Wnd8MjA0MjU5NWM5YTA4ZTczNzA2OTEyNTU0OTI0ZmM0ZGRiM2Q3MDNmZGVmNDBjMmJkNDA1MWEyMWZkMjBiNjA3MA,5,1,iciparisxl.nl,1753098791,https://www.iciparisxl.nl/scento/cherry-blossom-freesia/shower-foam/p/BP_1022865
Cryo-active Talasso Scrub,COLLISTAR,BODY,BP_1361247,,8015150005678,LICHAAM & WELLNESS,Body scrub,"€ 40,00","€ 50,00",20,700 G,AVAILABLE,COLLISTAR BENELUX,https://www.iciparisxl.nl/medias/prd-front-1361247-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8MjIxOTh8aW1hZ2UvanBlZ3xhREZqTDJoa09DOHhNVFU0TnpneU5UWTJOREF6TUM5d2NtUXRabkp2Ym5RdE1UTTJNVEkwTjE4eU1ERjRNakF4TG1wd1p3fGNmMjI0NjI1OGRmNTcyNTEyMzE3NjA5MGI1NzQzMzYzZTgxM2QzYmI0MTMzMDk5OGJmZDM0ZmU1NWFhMWY5MjU,,,iciparisxl.nl,1753098791,https://www.iciparisxl.nl/collistar/body/cryo-active-talasso-scrub/p/BP_1361247
Anti-roughness peeling scrub,BIOTHERM,Biocorps,BP_1301719,,3614274156959,LICHAAM & WELLNESS,Body scrub,"€ 24,00","€ 30,00",20,200 ML,AVAILABLE,L'OREAL BELGILUX N.V.,https://www.iciparisxl.nl/medias/prd-front-1301719-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8ODYwNXxpbWFnZS9qcGVnfGFHSXhMMmcyWWk4eE1EZzROVFl3TWpJeE16a3hPQzl3Y21RdFpuSnZiblF0TVRNd01UY3hPVjh5TURGNE1qQXhMbXB3Wnd8ZTQzZjg2NzJjZmY4NWJmMjg1ZmU1MGM2MmFjYjY5ODRhYjcxNWQ2NzhmYTI5YjQ0MjM3NDQyZWJiYjg5OTUwMw,,,iciparisxl.nl,1753098791,https://www.iciparisxl.nl/biotherm/biocorps/anti-roughness-peeling-scrub/p/BP_1301719
DOUCHE GEL,BIOTHERM,OIL THERAPY,BP_1258039,,3614274042931,LICHAAM & WELLNESS,Douchegel,"€ 21,60","€ 27,00",20,200 ML,AVAILABLE,L'OREAL BELGILUX N.V.,https://www.iciparisxl.nl/medias/prd-front-1258039-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8ODMzMHxpbWFnZS9qcGVnfGFEWTNMMmd3TXk4eE1ETTRNVEl3Tnpjek1qSTFOQzl3Y21RdFpuSnZiblF0TVRJMU9EQXpPVjh5TURGNE1qQXhMbXB3Wnd8NDI0YWM1MWNiMjlkN2NjMDIyZWM5NWI3MTcyZDViZWVjNDc1NGVlM2ZiOTI1Zjc0NWU2YzNiZGIyYTczNzEwZg,,,iciparisxl.nl,1753098791,https://www.iciparisxl.nl/biotherm/oil-therapy/douche-gel/p/BP_1258039
Shower gel,LIU JO,Silkway Wow,BP_1361499,,810103653917,LICHAAM & WELLNESS,Douchegel,"€ 12,00","€ 15,00",20,400 ML,AVAILABLE,ELHA COSMETICS,https://www.iciparisxl.nl/medias/prd-front-1361499-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8MTIxMTB8aW1hZ2UvanBlZ3xhREpoTDJnd05DOHhNVGMyTWpRNE1UZzFOalUwTWk5d2NtUXRabkp2Ym5RdE1UTTJNVFE1T1Y4eU1ERjRNakF4TG1wd1p3fGNkOWVhZjJkMzAyMDQ3NmM3N2I1NWRiYTAwZmM2YmRlNzRjMmQyYzY0NmNkMjU3ZmYxM2NhOGNkYmQ2N2ExOGY,,,iciparisxl.nl,1753098791,https://www.iciparisxl.nl/liu-jo/silkway-wow/shower-gel/p/BP_1361499
DOUCHEGEL,LIU JO,SILKWAY,BP_1257738,,810103653573,LICHAAM & WELLNESS,Douchegel,"€ 12,00","€ 15,00",20,400 ML,AVAILABLE,ELHA COSMETICS,https://www.iciparisxl.nl/medias/prd-front-1257738-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8MTUyMzF8aW1hZ2UvanBlZ3xhR0ZoTDJneE9DOHhNRE0yTnpVNU56Z3pPRE0yTmk5d2NtUXRabkp2Ym5RdE1USTFOemN6T0Y4eU1ERjRNakF4TG1wd1p3fGFhMDA1OTBjODQ4YzQ3MTVmMGJkODkwZTJmYjk0MDE1NTAwZjY4NmJjYzZkOWYxODljOTc4NWQyNDI2ZThmNzE,,,iciparisxl.nl,1753098791,https://www.iciparisxl.nl/liu-jo/silkway/douchegel/p/BP_1257738
Exfoliërende lichaamsscrub met maanzaad,ICI PARIS XL,IPXL PURE,BP_1348710,,8720875413126,LICHAAM & WELLNESS,Body scrub,"€ 10,36","€ 12,95",20,200 ML,AVAILABLE,LAB. SCIENCE ET NATURE,https://www.iciparisxl.nl/medias/prd-front-1348710-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8MjA4ODd8aW1hZ2UvanBlZ3xhRFZtTDJneU9TOHhNVFkzTkRNME9UZzJNamswTWk5d2NtUXRabkp2Ym5RdE1UTTBPRGN4TUY4eU1ERjRNakF4TG1wd1p3fGU5Yzc0MDczOTJlMDlkNDE4NjNlOTY4ZGE4MjAyZDY4Yjc4YWY0NzhmMWM5ZWEyYjdlZDMzYmUwZTBmYjFmOTk,,,iciparisxl.nl,1753098791,https://www.iciparisxl.nl/ici-paris-xl/ipxl-pure/exfolierende-lichaamsscrub-met-maanzaad/p/BP_1348710
